id,name,short_name,level_type,parent_id,city_id
210200,大连市,大连,2,210000.0,210200.0
210300,鞍山市,鞍山,2,210000.0,210300.0
222400,延边朝鲜族自治州,延边,2,220000.0,222400.0
230100,哈尔滨市,哈尔滨,2,230000.0,230100.0
230200,齐齐哈尔市,齐齐哈尔,2,230000.0,230200.0
230400,鹤岗市,鹤岗,2,230000.0,230400.0
420800,荆门市,荆门,2,420000.0,420800.0
420900,孝感市,孝感,2,420000.0,420900.0
371600,滨州市,滨州,2,370000.0,371600.0
231100,黑河市,黑河,2,230000.0,231100.0
450200,柳州市,柳州,2,450000.0,450200.0
450300,桂林市,桂林,2,450000.0,450300.0
520400,安顺市,安顺,2,520000.0,520400.0
530700,丽江市,丽江,2,530000.0,530700.0
530800,普洱市,普洱,2,530000.0,530800.0
513400,凉山彝族自治州,凉山,2,510000.0,513400.0
510900,遂宁市,遂宁,2,510000.0,510900.0
500100,重庆市,重庆,2,500000.0,500100.0
130200,唐山市,唐山,2,130000.0,130200.0
510500,泸州市,泸州,2,510000.0,510500.0
520300,遵义市,遵义,2,520000.0,520300.0
440400,珠海市,珠海,2,440000.0,440400.0
340400,淮南市,淮南,2,340000.0,340400.0
350400,三明市,三明,2,350000.0,350400.0
350500,泉州市,泉州,2,350000.0,350500.0
350600,漳州市,漳州,2,350000.0,350600.0
360200,景德镇市,景德镇,2,360000.0,360200.0
330200,宁波市,宁波,2,330000.0,330200.0
330400,嘉兴市,嘉兴,2,330000.0,330400.0
330500,湖州市,湖州,2,330000.0,330500.0
451400,崇左市,崇左,2,450000.0,451400.0
460200,三亚市,三亚,2,460000.0,460200.0
211400,葫芦岛市,葫芦岛,2,210000.0,211400.0
230900,七台河市,七台河,2,230000.0,230900.0
320500,苏州市,苏州,2,320000.0,320500.0
320600,南通市,南通,2,320000.0,320600.0
320900,盐城市,盐城,2,320000.0,320900.0
321000,扬州市,扬州,2,320000.0,321000.0
321100,镇江市,镇江,2,320000.0,321100.0
340500,马鞍山市,马鞍山,2,340000.0,340500.0
340600,淮北市,淮北,2,340000.0,340600.0
340700,铜陵市,铜陵,2,340000.0,340700.0
340800,安庆市,安庆,2,340000.0,340800.0
341000,黄山市,黄山,2,340000.0,341000.0
341100,滁州市,滁州,2,340000.0,341100.0
341200,阜阳市,阜阳,2,340000.0,341200.0
341500,六安市,六安,2,340000.0,341500.0
320100,南京市,南京,2,320000.0,320100.0
520500,毕节市,毕节,2,520000.0,520500.0
510100,成都市,成都,2,510000.0,510100.0
522700,黔南布依族苗族自治州,黔南,2,520000.0,522700.0
150200,包头市,包头,2,150000.0,150200.0
350200,厦门市,厦门,2,350000.0,350200.0
530900,临沧市,临沧,2,530000.0,530900.0
130400,邯郸市,邯郸,2,130000.0,130400.0
210400,抚顺市,抚顺,2,210000.0,210400.0
220800,白城市,白城,2,220000.0,220800.0
320200,无锡市,无锡,2,320000.0,320200.0
350700,南平市,南平,2,350000.0,350700.0
320300,徐州市,徐州,2,320000.0,320300.0
140900,忻州市,忻州,2,140000.0,140900.0
653100,喀什地区,喀什,2,650000.0,653100.0
610200,铜川市,铜川,2,610000.0,610200.0
640500,中卫市,中卫,2,640000.0,640500.0
370700,潍坊市,潍坊,2,370000.0,370700.0
370800,济宁市,济宁,2,370000.0,370800.0
360300,萍乡市,萍乡,2,360000.0,360300.0
360800,吉安市,吉安,2,360000.0,360800.0
361000,抚州市,抚州,2,360000.0,361000.0
361100,上饶市,上饶,2,360000.0,361100.0
370500,东营市,东营,2,370000.0,370500.0
141100,吕梁市,吕梁,2,140000.0,141100.0
450400,梧州市,梧州,2,450000.0,450400.0
450500,北海市,北海,2,450000.0,450500.0
450600,防城港市,防城港,2,450000.0,450600.0
620600,武威市,武威,2,620000.0,620600.0
320800,淮安市,淮安,2,320000.0,320800.0
350800,龙岩市,龙岩,2,350000.0,350800.0
431300,娄底市,娄底,2,430000.0,431300.0
433100,湘西土家族苗族自治州,湘西,2,430000.0,433100.0
130900,沧州市,沧州,2,130000.0,130900.0
440200,韶关市,韶关,2,440000.0,440200.0
440500,汕头市,汕头,2,440000.0,440500.0
140400,长治市,长治,2,140000.0,140400.0
141000,临汾市,临汾,2,140000.0,141000.0
152900,阿拉善盟,阿拉善盟,2,150000.0,152900.0
210100,沈阳市,沈阳,2,210000.0,210100.0
210600,丹东市,丹东,2,210000.0,210600.0
210700,锦州市,锦州,2,210000.0,210700.0
210800,营口市,营口,2,210000.0,210800.0
210900,阜新市,阜新,2,210000.0,210900.0
211000,辽阳市,辽阳,2,210000.0,211000.0
211100,盘锦市,盘锦,2,210000.0,211100.0
211200,铁岭市,铁岭,2,210000.0,211200.0
211300,朝阳市,朝阳,2,210000.0,211300.0
220100,长春市,长春,2,220000.0,220100.0
230600,大庆市,大庆,2,230000.0,230600.0
230800,佳木斯市,佳木斯,2,230000.0,230800.0
540300,昌都市,昌都,2,540000.0,540300.0
542500,阿里地区,阿里,2,540000.0,542500.0
622900,临夏回族自治州,临夏,2,620000.0,622900.0
623000,甘南藏族自治州,甘南,2,620000.0,623000.0
410200,开封市,开封,2,410000.0,410200.0
410300,洛阳市,洛阳,2,410000.0,410300.0
520200,六盘水市,六盘水,2,520000.0,520200.0
140300,阳泉市,阳泉,2,140000.0,140300.0
620400,白银市,白银,2,620000.0,620400.0
511900,巴中市,巴中,2,510000.0,511900.0
420200,黄石市,黄石,2,420000.0,420200.0
